month,Investment (in Cr),sector
Feb,₹ 1857.50,Pharmaceuticals and Chemicals
Feb,₹ 272.70,Plastic and Rubber
Feb,₹ 463.84,R&D
Feb,₹ 17843.35,"Real Estate,Industrial Parks and IT Buildings"
Feb,₹ 4.36,Solar and Other Renewable Energy
Feb,₹ 56.16,Textiles
Feb,₹ 10.14,Wood and Leather
Mar,₹ 291.17,Agro based incl Cold Storages
Mar,₹ 7.28,Automobile
Mar,₹ 14.57,Beverages
Mar,₹ 125.01,"Cement, Cement & Concrete Products, Fly Ash Bricks"
Mar,₹ 59.08,Electrical and Electronic Products
Mar,₹ 451.72,Engineering
Mar,₹ 17.92,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related"
Mar,₹ 549.35,Food Processing
Mar,₹ 92.96,Granite and Stone Crushing
Mar,₹ 204.68,Others
Mar,₹ 242.87,Paper and Printing
Mar,₹ 750.90,Pharmaceuticals and Chemicals
Mar,₹ 750.85,Plastic and Rubber
Mar,₹ 478.73,R&D
Mar,₹ 3399.00,"Real Estate,Industrial Parks and IT Buildings"
Mar,₹ 151.56,Solar and Other Renewable Energy
Mar,₹ 66.21,Textiles
Mar,₹ 5.30,Wood and Leather
